year,month,province,occupancy_rate,checkin_count,visitors_total,visitors_thai,visitors_foreign,revenue_total_mb,revenue_thai_mb,revenue_foreign_mb,date,region,month_sin,month_cos,is_high_season,foreign_ratio,revenue_per_visitor
2024,11,กระบี่,73.4,380655,540014,239095,300919,8678.86,3025.92,5652.94,2024-11-01,ภาคใต้,-0.5000000000000004,0.8660254037844384,1,0.5572429603676942,16071.54629324425
2024,12,กระบี่,78.38,414739,592625,216031,376594,9808.56,2734.0200000000004,7074.539999999999,2024-12-01,ภาคใต้,-2.4492935982947064e-16,1.0,1,0.6354676228643746,16551.039865007384
2025,1,กระบี่,80.81,326539,603286,241881,361405,9476.16,2395.38,7080.78,2025-01-01,ภาคใต้,0.4999999999999999,0.8660254037844387,1,0.5990608102956143,15707.574848413522
2025,2,กระบี่,73.34,322448,576748,290027,286721,8741.310000000001,2993.75,5747.56,2025-02-01,ภาคใต้,0.8660254037844386,0.5000000000000001,1,0.4971339302433645,15156.203402525887
2025,3,กระบี่,70.14,352947,585263,293292,291971,9184.53,3334.02,5850.51,2025-03-01,ภาคใต้,1.0,6.123233995736766e-17,1,0.498871447537261,15692.9961401968
2025,4,กระบี่,79.35,391359,660418,202400,458018,10208.89,2091.9,8116.99,2025-04-01,ภาคใต้,0.8660254037844387,-0.4999999999999998,0,0.6935274326260036,15458.224942384972
2025,5,กระบี่,74.09,368125,470063,144523,325540,7433.12,2236.46,5196.66,2025-05-01,ภาคใต้,0.4999999999999999,-0.8660254037844387,0,0.692545467309701,15813.029317346824
2025,6,กระบี่,67.58,330587,510718,234588,276130,8670.710000000001,3010.61,5660.1,2025-06-01,ภาคใต้,1.2246467991473532e-16,-1.0,0,0.5406701937272624,16977.490513355708
2025,7,กระบี่,59.06,314649,439830,216691,223139,8205.1,2793.3,5411.8,2025-07-01,ภาคใต้,-0.4999999999999997,-0.8660254037844388,0,0.5073301048132233,18655.1622217675
2025,8,กระบี่,63.02,316280,457025,220169,236856,8592.880000000001,2820.92,5771.96,2025-08-01,ภาคใต้,-0.8660254037844384,-0.5000000000000004,0,0.5182561129041081,18801.77233192933
2025,9,กระบี่,58.81,280570,410785,193473,217312,7405.05,2387.79,5017.26,2025-09-01,ภาคใต้,-1.0,-1.8369701987210292e-16,0,0.5290163954380028,18026.58324914493
2025,10,กระบี่,67.13,353879,507184,226565,280619,8251.69,2865.92,5385.77,2025-10-01,ภาคใต้,-0.8660254037844386,0.5000000000000001,0,0.5532883529448879,16269.618126754787
2025,11,กระบี่,75.54,389761,553060,262655,290405,8785.19,3324.23,5460.96,2025-11-01,ภาคใต้,-0.5000000000000004,0.8660254037844384,1,0.5250876939210936,15884.696054677612
2025,12,กระบี่,80.89,425552,608915,224797,384118,10061.64,2844.47,7217.17,2025-12-01,ภาคใต้,-2.4492935982947064e-16,1.0,1,0.6308236781816838,16523.882643718745
2024,1,กรุงเทพมหานคร,82.23,3067096,5097274,2665097,2432177,76337.79999999999,17970.96,58366.84,2024-01-01,กรุงเทพฯ,0.4999999999999999,0.8660254037844387,1,0.4771524936662223,14976.201004693878
2024,2,กรุงเทพมหานคร,83.83,3022710,4740224,2206042,2534182,75690.27,14875.52,60814.75,2024-02-01,กรุงเทพฯ,0.8660254037844386,0.5000000000000001,1,0.5346122883644318,15967.656802716496
2024,3,กรุงเทพมหานคร,76.68,2793863,4585853,2342580,2243273,69629.77999999997,15796.22,53833.56,2024-03-01,กรุงเทพฯ,1.0,6.123233995736766e-17,1,0.4891724614809938,15183.604882232372
2024,4,กรุงเทพมหานคร,80.06,2877155,4772088,2649470,2122618,78091.58,26385.77,51705.81,2024-04-01,กรุงเทพฯ,0.8660254037844387,-0.4999999999999998,0,0.4447985871174211,16364.23720601967
2024,5,กรุงเทพมหานคร,75.53,2776072,4657051,2639221,2017830,75436.91,26283.7,49153.21,2024-05-01,กรุงเทพฯ,0.4999999999999999,-0.8660254037844387,0,0.4332849264480891,16198.429005823642
2024,6,กรุงเทพมหานคร,77.35,2786239,4468565,2325320,2143245,75365.84000000003,23157.58,52208.26000000004,2024-06-01,กรุงเทพฯ,1.2246467991473532e-16,-1.0,0,0.4796271286195904,16865.78129668026
2024,7,กรุงเทพมหานคร,78.59,2891407,4645742,2293094,2352648,76227.34,21284.7,54942.64,2024-07-01,กรุงเทพฯ,-0.4999999999999997,-0.8660254037844388,0,0.5064095251092291,16408.001133080572
2024,8,กรุงเทพมหานคร,79.62,2992545,5072547,2765047,2307500,79553.68,25665.4,53888.28,2024-08-01,กรุงเทพฯ,-0.8660254037844384,-0.5000000000000004,0,0.4548996786032737,15683.182432809395
2024,9,กรุงเทพมหานคร,75.39,2735879,4812438,2787207,2025231,73167.4,25871.119999999995,47296.279999999984,2024-09-01,กรุงเทพฯ,-1.0,-1.8369701987210292e-16,0,0.4208326424153412,15203.811456895652
2024,10,กรุงเทพมหานคร,76.27,2798426,5256448,3173074,2083374,82876.9,26334.91,56541.99,2024-10-01,กรุงเทพฯ,-0.8660254037844386,0.5000000000000001,0,0.3963463540398383,15766.711665367944
2024,11,กรุงเทพมหานคร,77.09,2859421,4990842,2685516,2305326,84854.12,22288.42,62565.7,2024-11-01,กรุงเทพฯ,-0.5000000000000004,0.8660254037844384,1,0.461911236620995,17001.964798725345
2024,12,กรุงเทพมหานคร,83.95,3201791,5705200,3178080,2527120,94961.52,26376.43,68585.09,2024-12-01,กรุงเทพฯ,-2.4492935982947064e-16,1.0,1,0.4429502909626305,16644.731122484747
2025,1,กรุงเทพมหานคร,82.71,3095396,5164847,2703279,2461568,82327.28,18879.27,63448.01,2025-01-01,กรุงเทพฯ,0.4999999999999999,0.8660254037844387,1,0.4766003717051056,15939.926197232948
2025,2,กรุงเทพมหานคร,81.14,2834347,4567452,2205898,2361554,72988.98000000001,14788.0,58200.98,2025-02-01,กรุงเทพฯ,0.8660254037844386,0.5000000000000001,1,0.5170396974067817,15980.240186432176
2025,3,กรุงเทพมหานคร,74.48,2653228,4327080,2261223,2065857,66207.71,15382.74,50824.97,2025-03-01,กรุงเทพฯ,1.0,6.123233995736766e-17,1,0.4774251920463684,15300.782513843054
2025,4,กรุงเทพมหานคร,72.15,2660793,4463222,2519116,1944106,73152.85,24942.35,48210.5,2025-04-01,กรุงเทพฯ,0.8660254037844387,-0.4999999999999998,0,0.435583531359184,16390.143712322624
2025,5,กรุงเทพมหานคร,70.06,2647262,4308575,2580102,1728473,66131.9,25675.38,40456.52,2025-05-01,กรุงเทพฯ,0.4999999999999999,-0.8660254037844387,0,0.4011704565894756,15348.903059596269
2025,6,กรุงเทพมหานคร,69.78,2526004,4099739,2249047,1850692,66207.01,22451.27,43755.74,2025-06-01,กรุงเทพฯ,1.2246467991473532e-16,-1.0,0,0.4514170292303973,16149.079246264211
2025,7,กรุงเทพมหานคร,76.33,2769679,4409500,2312585,2096915,71194.57,21927.5,49267.07,2025-07-01,กรุงเทพฯ,-0.4999999999999997,-0.8660254037844388,0,0.475544846354462,16145.724004989228
2025,8,กรุงเทพมหานคร,77.45,2842444,4826937,2759280,2067657,74280.83,25977.68,48303.15,2025-08-01,กรุงเทพฯ,-0.8660254037844384,-0.5000000000000004,0,0.4283579835411152,15388.812822707236
2025,9,กรุงเทพมหานคร,73.74,2682129,4712608,2908570,1804038,70006.28,27313.64,42692.64,2025-09-01,กรุงเทพฯ,-1.0,-1.8369701987210292e-16,0,0.3828109615737188,14855.103585954954
2025,10,กรุงเทพมหานคร,76.91,2815743,5301763,3297953,2003810,81468.58,27579.77,53888.81,2025-10-01,กรุงเทพฯ,-0.8660254037844386,0.5000000000000001,0,0.3779516360878447,15366.318713228036
2025,11,กรุงเทพมหานคร,77.82,2904887,5009048,2858749,2150299,82457.53,23446.4,59011.13,2025-11-01,กรุงเทพฯ,-0.5000000000000004,0.8660254037844384,1,0.4292829695383234,16461.71687713913
2025,12,กรุงเทพมหานคร,85.09,3252330,5724472,3368263,2356209,92945.16,28137.93,64807.23,2025-12-01,กรุงเทพฯ,-2.4492935982947064e-16,1.0,1,0.4116028517564589,16236.459886606135
2024,1,กาญจนบุรี,67.53,316317,1199148,1162298,36850,2995.38,2834.84,160.54,2024-01-01,ภาคกลาง,0.4999999999999999,0.8660254037844387,1,0.0307301517410694,2497.923525703249
2024,2,กาญจนบุรี,68.81,309961,1175045,1138924,36121,2935.2,2777.83,157.37,2024-02-01,ภาคกลาง,0.8660254037844386,0.5000000000000001,1,0.0307400993153453,2497.9468871404924
2024,3,กาญจนบุรี,65.4,302714,1145749,1107622,38127,2867.6100000000006,2701.49,166.12,2024-03-01,ภาคกลาง,1.0,6.123233995736766e-17,1,0.0332769219087252,2502.825662514216
2024,4,กาญจนบุรี,68.17,311298,1320745,1288530,32215,3271.9,3108.77,163.13,2024-04-01,ภาคกลาง,0.8660254037844387,-0.4999999999999998,0,0.0243915365948763,2477.3139402382744
2024,5,กาญจนบุรี,63.61,296877,1259166,1228098,31068,3120.29,2962.97,157.32,2024-05-01,ภาคกลาง,0.4999999999999999,-0.8660254037844387,0,0.024673474347306,2478.0608752142293
2024,6,กาญจนบุรี,64.47,298390,1265038,1233331,31707,3136.1799999999985,2975.5899999999983,160.58999999999995,2024-06-01,ภาคกลาง,1.2246467991473532e-16,-1.0,0,0.025064069221636,2479.119204324296
2024,7,กาญจนบุรี,63.35,284915,1218962,1179793,39169,2932.71,2771.13,161.58,2024-07-01,ภาคกลาง,-0.4999999999999997,-0.8660254037844388,0,0.0321330771590911,2405.907649295056
2024,8,กาญจนบุรี,62.68,281689,1207841,1172760,35081,2899.33,2754.61,144.72,2024-08-01,ภาคกลาง,-0.8660254037844384,-0.5000000000000004,0,0.0290443858090593,2400.4235656845563
2024,9,กาญจนบุรี,72.52,315561,1358143,1325723,32420,3247.6299999999983,3113.879999999999,133.75000000000006,2024-09-01,ภาคกลาง,-1.0,-1.8369701987210292e-16,0,0.0238708295076438,2391.2283169003545
2024,10,กาญจนบุรี,65.61,300309,1213599,1181006,32593,2880.98,2749.52,131.46,2024-10-01,ภาคกลาง,-0.8660254037844386,0.5000000000000001,0,0.0268564822482549,2373.9142830539577
2024,11,กาญจนบุรี,70.22,317071,1280493,1244735,35758,3042.11,2897.89,144.22,2024-11-01,ภาคกลาง,-0.5000000000000004,0.8660254037844384,1,0.0279251819416427,2375.7334089292167
2024,12,กาญจนบุรี,75.04,337155,1362109,1324888,37221,3234.629999999999,3084.5,150.13000000000005,2024-12-01,ภาคกลาง,-2.4492935982947064e-16,1.0,1,0.0273260069495172,2374.7218467831863
2025,1,กาญจนบุรี,69.65,328048,1244732,1201273,43459,3193.8500000000004,3012.34,181.51,2025-01-01,ภาคกลาง,0.4999999999999999,0.8660254037844387,1,0.0349143430071694,2565.893702419477
2025,2,กาญจนบุรี,69.93,319469,1212734,1171096,41638,3049.54,2872.57,176.97,2025-02-01,ภาคกลาง,0.8660254037844386,0.5000000000000001,1,0.0343339924501168,2514.5992443520176
2025,3,กาญจนบุรี,67.07,314583,1106015,1068805,37210,2904.92,2737.65,167.27,2025-03-01,ภาคกลาง,1.0,6.123233995736766e-17,1,0.0336433050184672,2626.47432448927
2025,4,กาญจนบุรี,68.73,317617,1288030,1257348,30682,3320.07,3126.8,193.27,2025-04-01,ภาคกลาง,0.8660254037844387,-0.4999999999999998,0,0.0238208737374129,2577.6340613184475
2025,5,กาญจนบุรี,67.01,311216,1288238,1259783,28455,3287.38,3141.34,146.04,2025-05-01,ภาคกลาง,0.4999999999999999,-0.8660254037844387,0,0.022088309768847,2551.84212855078
2025,6,กาญจนบุรี,65.6,308595,1221105,1193124,27981,3161.13,3005.55,155.58,2025-06-01,ภาคกลาง,1.2246467991473532e-16,-1.0,0,0.0229144913828049,2588.745439581363
2025,7,กาญจนบุรี,66.23,304147,1281504,1246111,35393,3293.58,3136.04,157.54,2025-07-01,ภาคกลาง,-0.4999999999999997,-0.8660254037844388,0,0.0276183297125877,2570.0895198142184
2025,8,กาญจนบุรี,63.34,289831,1219211,1186277,32934,2979.65,2845.34,134.31,2025-08-01,ภาคกลาง,-0.8660254037844384,-0.5000000000000004,0,0.0270125515599842,2443.9165985215027
2025,9,กาญจนบุรี,68.31,301166,1270906,1240763,30143,3122.7200000000003,2997.38,125.34,2025-09-01,ภาคกลาง,-1.0,-1.8369701987210292e-16,0,0.0237177257798767,2457.081798339138
2025,10,กาญจนบุรี,66.94,308085,1248290,1216868,31422,3018.57,2893.56,125.01,2025-10-01,ภาคกลาง,-0.8660254037844386,0.5000000000000001,0,0.025172035344351,2418.164048418236
2025,11,กาญจนบุรี,74.73,334576,1343873,1310413,33460,3229.62,3093.75,135.87,2025-11-01,ภาคกลาง,-0.5000000000000004,0.8660254037844384,1,0.0248981860637128,2403.2181612399386
2025,12,กาญจนบุรี,78.16,352715,1425508,1390254,35254,3456.1000000000004,3311.11,144.99,2025-12-01,ภาคกลาง,-2.4492935982947064e-16,1.0,1,0.0247308327978517,2424.469031390915
2024,1,กาฬสินธุ์,49.25,23198,73928,73011,917,110.68,107.8,2.88,2024-01-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,0.8660254037844387,1,0.0124039606103235,1497.1323449843092
2024,2,กาฬสินธุ์,60.07,27522,87602,85887,1715,132.19,126.81,5.38,2024-02-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844386,0.5000000000000001,1,0.0195771786032282,1508.983813154951
2024,3,กาฬสินธุ์,49.73,22946,73067,71810,1257,110.0,106.05,3.9499999999999993,2024-03-01,ภาคตะวันออกเฉียงเหนือ,1.0,6.123233995736766e-17,1,0.0172033886706721,1505.467584545691
2024,4,กาฬสินธุ์,62.05,28321,238818,235289,3529,310.34000000000003,303.17,7.17,2024-04-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844387,-0.4999999999999998,0,0.0147769431114907,1299.4832885293406
2024,5,กาฬสินธุ์,58.4,26956,227081,222602,4479,295.92,286.82,9.1,2024-05-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,-0.8660254037844387,0,0.0197242393683311,1303.1473350918834
2024,6,กาฬสินธุ์,55.01,25189,212162,207795,4367,276.6299999999999,267.7499999999999,8.879999999999999,2024-06-01,ภาคตะวันออกเฉียงเหนือ,1.2246467991473532e-16,-1.0,0,0.0205833278343907,1303.8621430793444
2024,7,กาฬสินธุ์,53.49,28146,256451,251966,4485,332.97,323.86,9.11,2024-07-01,ภาคตะวันออกเฉียงเหนือ,-0.4999999999999997,-0.8660254037844388,0,0.0174887210422263,1298.3766879442855
2024,8,กาฬสินธุ์,52.77,25672,233986,230217,3769,303.56,295.91,7.65,2024-08-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844384,-0.5000000000000004,0,0.0161078013214465,1297.3425760515586
2024,9,กาฬสินธุ์,51.83,23650,215480,211689,3791,279.80999999999995,272.0899999999999,7.720000000000006,2024-09-01,ภาคตะวันออกเฉียงเหนือ,-1.0,-1.8369701987210292e-16,0,0.0175932801188045,1298.5427881937997
2024,10,กาฬสินธุ์,52.81,23779,243969,239985,3984,346.77000000000004,336.98,9.79,2024-10-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844386,0.5000000000000001,0,0.0163299435584029,1421.369108370326
2024,11,กาฬสินธุ์,54.61,25141,258093,254201,3892,366.51,356.94,9.57,2024-11-01,ภาคตะวันออกเฉียงเหนือ,-0.5000000000000004,0.8660254037844384,1,0.0150798355631497,1420.0695098278527
2024,12,กาฬสินธุ์,59.08,27374,281055,276897,4158,399.0,388.79,10.209999999999996,2024-12-01,ภาคตะวันออกเฉียงเหนือ,-2.4492935982947064e-16,1.0,1,0.0147942573517638,1419.650957997545
2025,1,กาฬสินธุ์,59.31,27265,86820,85332,1488,130.66,125.99,4.67,2025-01-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,0.8660254037844387,1,0.0171389080856945,1504.9527758580973
2025,2,กาฬสินธุ์,62.48,28803,267902,263819,4083,286.93,277.39,9.54,2025-02-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844386,0.5000000000000001,1,0.0152406476995319,1071.0259721838584
2025,3,กาฬสินธุ์,59.82,27239,96915,95102,1813,138.42,132.5,5.92,2025-03-01,ภาคตะวันออกเฉียงเหนือ,1.0,6.123233995736766e-17,1,0.0187071144817623,1428.2618789661044
2025,4,กาฬสินธุ์,63.5,29440,433789,430155,3634,397.53,388.3,9.23,2025-04-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844387,-0.4999999999999998,0,0.0083773447459479,916.4132792671091
2025,5,กาฬสินธุ์,56.82,25517,193123,189423,3700,243.75,236.36,7.39,2025-05-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,-0.8660254037844387,0,0.0191587744598002,1262.1489931287315
2025,6,กาฬสินธุ์,52.65,22882,147629,143815,3814,265.39,257.87,7.52,2025-06-01,ภาคตะวันออกเฉียงเหนือ,1.2246467991473532e-16,-1.0,0,0.0258350324123309,1797.6820272439695
2025,7,กาฬสินธุ์,51.41,27409,193934,190184,3750,265.39,257.99,7.4,2025-07-01,ภาคตะวันออกเฉียงเหนือ,-0.4999999999999997,-0.8660254037844388,0,0.0193364752957191,1368.4552476615756
2025,8,กาฬสินธุ์,48.87,24965,188655,185711,2944,263.67,257.84,5.83,2025-08-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844384,-0.5000000000000004,0,0.015605205268877,1397.6305955315256
2025,9,กาฬสินธุ์,48.89,23019,201993,198093,3900,271.91,264.1,7.81,2025-09-01,ภาคตะวันออกเฉียงเหนือ,-1.0,-1.8369701987210292e-16,0,0.0193075997683088,1346.1357571797043
2025,10,กาฬสินธุ์,49.08,23192,230316,226544,3772,305.71,296.68,9.03,2025-10-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844386,0.5000000000000001,0,0.0163774987408603,1327.350249222807
2025,11,กาฬสินธุ์,46.34,22406,223261,219635,3626,303.37,294.69,8.68,2025-11-01,ภาคตะวันออกเฉียงเหนือ,-0.5000000000000004,0.8660254037844384,1,0.0162410810665543,1358.8132275677349
2025,12,กาฬสินธุ์,60.78,28088,290286,286058,4228,405.73,395.29,10.44,2025-12-01,ภาคตะวันออกเฉียงเหนือ,-2.4492935982947064e-16,1.0,1,0.0145649462943441,1397.6905534541795
2024,1,กำแพงเพชร,43.25,34610,75821,72954,2867,156.7,150.17,6.53,2024-01-01,ภาคเหนือ,0.4999999999999999,0.8660254037844387,1,0.0378127431714168,2066.7097505968004
2024,2,กำแพงเพชร,41.82,32075,70278,67598,2680,145.26000000000002,139.15,6.11,2024-02-01,ภาคเหนือ,0.8660254037844386,0.5000000000000001,1,0.0381342667691169,2066.934175702212
2024,3,กำแพงเพชร,40.76,35160,76797,74394,2403,158.64,153.16000000000005,5.48,2024-03-01,ภาคเหนือ,1.0,6.123233995736766e-17,1,0.031290284776749,2065.705691628579
2024,4,กำแพงเพชร,39.82,32787,69127,66472,2655,150.45,145.23,5.22,2024-04-01,ภาคเหนือ,0.8660254037844387,-0.4999999999999998,0,0.0384075686779406,2176.4288917499675
2024,5,กำแพงเพชร,37.24,32142,67510,65320,2190,147.01000000000002,142.71,4.3,2024-05-01,ภาคเหนือ,0.4999999999999999,-0.8660254037844387,0,0.0324396385720633,2177.603318026959
2024,6,กำแพงเพชร,36.45,30720,64756,62289,2467,140.93999999999994,136.08999999999995,4.849999999999998,2024-06-01,ภาคเหนือ,1.2246467991473532e-16,-1.0,0,0.0380968558898017,2176.477855333868
2024,7,กำแพงเพชร,38.51,32798,69257,67194,2063,149.52,144.99,4.53,2024-07-01,ภาคเหนือ,-0.4999999999999997,-0.8660254037844388,0,0.0297876026972002,2158.9153442973275
2024,8,กำแพงเพชร,36.73,31492,66526,64492,2034,143.63,139.16,4.47,2024-08-01,ภาคเหนือ,-0.8660254037844384,-0.5000000000000004,0,0.0305745122207858,2159.005501608394
2024,9,กำแพงเพชร,34.6,29291,61809,60050,1759,133.43000000000006,129.56000000000006,3.870000000000001,2024-09-01,ภาคเหนือ,-1.0,-1.8369701987210292e-16,0,0.028458638709573,2158.7471080263404
2024,10,กำแพงเพชร,39.42,32898,77049,74633,2416,163.26,157.59,5.67,2024-10-01,ภาคเหนือ,-0.8660254037844386,0.5000000000000001,0,0.0313566691326298,2118.9113421329284
2024,11,กำแพงเพชร,43.06,35208,82548,79780,2768,174.95000000000002,168.46,6.49,2024-11-01,ภาคเหนือ,-0.5000000000000004,0.8660254037844384,1,0.033532005620972,2119.3729708775504
2024,12,กำแพงเพชร,46.89,39426,92228,89559,2669,195.36,189.11000000000007,6.2499999999999964,2024-12-01,ภาคเหนือ,-2.4492935982947064e-16,1.0,1,0.0289391508001908,2118.2287374766884
2025,1,กำแพงเพชร,45.12,36265,81652,78768,2884,174.59,167.82,6.77,2025-01-01,ภาคเหนือ,0.4999999999999999,0.8660254037844387,1,0.0353206290109244,2138.2207416842207
2025,2,กำแพงเพชร,44.65,33602,75240,72654,2586,159.97,153.96,6.01,2025-02-01,ภาคเหนือ,0.8660254037844386,0.5000000000000001,1,0.0343700159489633,2126.1297182349813
2025,3,กำแพงเพชร,42.78,36365,74456,72284,2172,155.23999999999998,150.17,5.07,2025-03-01,ภาคเหนือ,1.0,6.123233995736766e-17,1,0.0291715912753841,2084.989792629204
2025,4,กำแพงเพชร,44.3,34082,72343,69643,2700,166.53,161.19,5.34,2025-04-01,ภาคเหนือ,0.8660254037844387,-0.4999999999999998,0,0.0373222011804874,2301.950430587617
2025,5,กำแพงเพชร,41.49,33778,71743,69840,1903,156.98,153.17,3.81,2025-05-01,ภาคเหนือ,0.4999999999999999,-0.8660254037844387,0,0.0265252359115175,2188.088036463488
2025,6,กำแพงเพชร,39.190000000000005,32056,68169,66226,1943,149.51000000000002,145.68,3.83,2025-06-01,ภาคเหนือ,1.2246467991473532e-16,-1.0,0,0.0285026918393991,2193.225659757368
2025,7,กำแพงเพชร,41.39,34323,72862,71044,1818,158.20999999999998,154.17,4.04,2025-07-01,ภาคเหนือ,-0.4999999999999997,-0.8660254037844388,0,0.0249512777579533,2171.365046251818
2025,8,กำแพงเพชร,42.56,34119,70983,69196,1787,155.71,151.94,3.77,2025-08-01,ภาคเหนือ,-0.8660254037844384,-0.5000000000000004,0,0.0251750419114435,2193.623825422989
2025,9,กำแพงเพชร,40.32,31487,69804,68370,1434,151.82,148.59,3.23,2025-09-01,ภาคเหนือ,-1.0,-1.8369701987210292e-16,0,0.0205432353446793,2174.946994441579
2025,10,กำแพงเพชร,44.87,35393,83028,80872,2156,179.39999999999998,174.2,5.2,2025-10-01,ภาคเหนือ,-0.8660254037844386,0.5000000000000001,0,0.0259671436142024,2160.716866599219
2025,11,กำแพงเพชร,44.65,36361,85653,83089,2564,183.07,177.0,6.07,2025-11-01,ภาคเหนือ,-0.5000000000000004,0.8660254037844384,1,0.0299347366700524,2137.344868247464
2025,12,กำแพงเพชร,49.82,41548,101286,98910,2376,217.77,211.99,5.78,2025-12-01,ภาคเหนือ,-2.4492935982947064e-16,1.0,1,0.0234583259285587,2150.050352467271
2024,1,ขอนแก่น,71.36,209155,433988,422801,11187,1338.02,1304.27,33.75,2024-01-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,0.8660254037844387,1,0.0257772104297814,3083.080638174328
2024,2,ขอนแก่น,67.7,194812,403762,394326,9436,1244.9,1216.43,28.47,2024-02-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844386,0.5000000000000001,1,0.0233702032385415,3083.2520148007984
2024,3,ขอนแก่น,63.19,187834,389310,380188,9122,1200.35,1172.8300000000004,27.52,2024-03-01,ภาคตะวันออกเฉียงเหนือ,1.0,6.123233995736766e-17,1,0.0234311987875985,3083.275538773728
2024,4,ขอนแก่น,69.94,206975,451248,440562,10686,1443.42,1406.2,37.22,2024-04-01,ภาคตะวันออกเฉียงเหนือ,0.8660254037844387,-0.4999999999999998,0,0.0236809913838953,3198.728858632061
2024,5,ขอนแก่น,60.99,188718,411338,401842,9496,1315.6799999999998,1282.61,33.07,2024-05-01,ภาคตะวันออกเฉียงเหนือ,0.4999999999999999,-0.8660254037844387,0,0.0230856376021665,3198.537455814925
2024,6,ขอนแก่น,56.43,169053,368700,359673,9027,1179.4700000000007,1148.0200000000004,31.450000000000017,2024-06-01,ภาคตะวันออกเฉียงเหนือ,1.2246467991473532e-16,-1.0,0,0.0244833197721725,3198.9964740981845
2024,7,ขอนแก่น,61.78,186323,379637,369703,9934,1380.3200000000002,1345.65,34.67,2024-07-01,ภาคตะวันออกเฉียงเหนือ,-0.4999999999999997,-0.8660254037844388,0,0.0261671017313907,3635.894288491376
2024,8,ขอนแก่น,58.41,177055,360751,351318,9433,1311.65,1278.73,32.92,2024-08-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844384,-0.5000000000000004,0,0.026148229665337,3635.887357207603
2024,9,ขอนแก่น,54.55,168595,344031,333942,10089,1250.6799999999994,1215.4799999999996,35.19999999999999,2024-09-01,ภาคตะวันออกเฉียงเหนือ,-1.0,-1.8369701987210292e-16,0,0.0293258456360037,3635.370068394997
2024,10,ขอนแก่น,58.02,174636,348544,338354,10190,1135.05,1104.05,31.0,2024-10-01,ภาคตะวันออกเฉียงเหนือ,-0.8660254037844386,0.5000000000000001,0,0.0292359070877708,3256.547236503856
2024,11,ขอนแก่น,63.12,181727,362436,352472,9964,1180.4299999999998,1150.12,30.31,2024-11-01,ภาคตะวันออกเฉียงเหนือ,-0.5000000000000004,0.8660254037844384,1,0.0274917502676334,3256.9336379388355
